"Waterbody","Month","Day of Week","Mean Fishing Effort","SE for Mean Fishing Effort","Total Fishing Effort","SE for Total Fishing Effort","Mean HarvestORCatch","SE for Mean HarvestORCatch","Total HarvestORCatch","SE for Total HarvestORCatch","Mean Number of Angler Trips","SE for Mean Number of Angler Trips","Total Number of Angler Trips","SE for Total Number of Angler Trips","Mean HarvestORCatch Per Unit Effort"
"Moon Lake",5,"wd",2.5,1.00895610620206,55,22.1970343364453,0,0,0,0,0,0,0,0,NA
"Moon Lake",5,"we",67.5,28.2658510102444,607.5,254.392659092199,0,0,0,0,17.5,8.24957911384305,157.5,74.2462120245875,0
"Moon Lake",6,"wd",112,9.26457547189638,2128,176.026933966031,8.75621890547264,4.63915810633727,166.36815920398,88.1440040204081,28.244555002764,8.89278710431204,536.646545052515,168.962954981929,0.214477211796247
"Moon Lake",6,"we",130.666666666667,26.4748657884893,1306.66666666667,264.748657884892,9.77777777777778,4.84174803201147,97.7777777777778,48.4174803201147,21.2734889287852,6.53669554468451,212.734889287852,65.3669554468451,0.0501882057716437
"Moon Lake",7,"wd",51.25,8.64124138255488,973.75,164.183586268543,3.13064989306336,0.721710669868866,59.4823479682038,13.7125027275084,6.5681973207303,1.29118021187858,124.795749093876,24.532424025693,0.0609978565239203
"Moon Lake",7,"we",43.75,16.0857079421454,437.5,160.857079421454,0,0,0,0,21.6949220800563,11.2672591327662,216.949220800563,112.672591327662,0
"Moon Lake",8,"wd",28,8.95803420464525,644,206.034786706841,6.83721567016762,1.61034005616775,157.255960413855,37.0378212918583,4.55005476344149,2.09962896716413,104.651259559154,48.291466244775,0.293685756240822
"Moon Lake",8,"we",84,16.4974394758477,672,131.979515806782,0,0,0,0,9.79366055560222,1.9246991201458,78.3492844448177,15.3975929611664,0
"Moon Lake",9,"wd",5.41666666666667,2.00887407488198,102.916666666667,38.1686074227577,0,0,0,0,0.361111111111111,0.251961924833797,6.86111111111111,4.78727657184214,0
"Moon Lake",9,"we",52,13.3455751882179,572,146.801327070397,0,0,0,0,0,0,0,0,NA
"Moon Lake",10,"wd",0,0,0,0,0,0,0,0,0,0,0,0,NA
"Moon Lake",10,"we",1.83333333333333,1.4969103983675,16.5,13.4721935853075,0,0,0,0,0,0,0,0,NA
"Moon Lake",11,"wd",0,0,0,0,0,0,0,0,0,0,0,0,NA
"Moon Lake",11,"we",2.5,1.98955606438555,25,19.8955606438555,0,0,0,0,0,0,0,0,NA
