"Waterbody","Month","Day of Week","Time of Day","Mean Fishing Effort","SE for Mean Fishing Effort","Total Fishing Effort","SE for Total Fishing Effort","Mean HarvestORCatch","SE for Mean HarvestORCatch","Total HarvestORCatch","SE for Total HarvestORCatch","Mean Number of Angler Trips","SE for Mean Number of Angler Trips","Total Number of Angler Trips","SE for Total Number of Angler Trips","Mean HarvestORCatch Per Unit Effort"
"Moon Lake",5,"wd","ampm",2.5,1.74756323854883,55,38.4463912480742,0,0,0,0,0,0,0,0,0
"Moon Lake",5,"we","ampm",67.5,48.9578900689154,607.5,440.621010620238,0,0,0,0,17.5,14.2886901662352,157.5,128.598211496117,0
"Moon Lake",6,"wd","ampm",112,16.0467154278809,2128,304.887593129738,105.72736318408,25.411747558802,2008.81990049751,482.823203617238,28.244555002764,15.4027590855618,536.646545052515,292.652422625674,0.926699834162521
"Moon Lake",6,"we","ampm",130.666666666667,45.8558126692304,1306.66666666667,458.558126692304,52.8090963494913,38.9329123829565,528.090963494913,389.329123829565,21.2734889287852,11.3218887970027,212.734889287852,113.218887970027,0.29787552363854
"Moon Lake",7,"wd","ampm",51.25,14.9670691150518,973.75,284.374313185984,61.3983913365493,26.9348279743747,1166.56943539444,511.761731513119,6.5681973207303,2.23638972870125,124.795749093876,42.4914048453238,1.06305111573423
"Moon Lake",7,"we","ampm",43.75,27.8612634315101,437.5,278.612634315101,56.351480829478,37.3551331433712,563.51480829478,373.551331433713,21.6949220800563,19.5154652799955,216.949220800563,195.154652799955,1.08998905818617
"Moon Lake",8,"wd","ampm",28,15.5157703783854,644,356.862718702865,12.9852676563203,9.96206824207942,298.661156095367,229.127569567827,4.55005476344149,3.63666404817164,104.651259559154,83.6432731079478,0.324448942869996
"Moon Lake",8,"we","ampm",84,28.5744033669607,672,228.595226935686,36.1687008442514,19.2329838915401,289.349606754011,153.863871132321,9.79366055560222,3.33367666537564,78.3492844448177,26.6694133230051,0.501483641795172
"Moon Lake",9,"wd","ampm",5.41666666666667,3.47947196370352,102.916666666667,66.1099673103669,3.61111111111111,4.38293974618788,68.6111111111111,83.2758551775697,0.361111111111111,0.436410855384987,6.86111111111111,8.29180625231475,1.11111111111111
"Moon Lake",9,"we","ampm",52,23.115214282224,572,254.267357104464,0,0,0,0,0,0,0,0,0
"Moon Lake",10,"wd","ampm",0,0,0,0,0,0,0,0,0,0,0,0,0
"Moon Lake",10,"we","ampm",1.83333333333333,2.59272486435067,16.5,23.3345237791561,0,0,0,0,0,0,0,0,0
"Moon Lake",11,"wd","ampm",0,0,0,0,0,0,0,0,0,0,0,0,0
"Moon Lake",11,"we","ampm",2.5,3.44601218802256,25,34.4601218802256,0,0,0,0,0,0,0,0,0
